Title,Duration,Artist,Album,Scrobles,Year,Added_Date,Genre,Released_Date
Imported,4:06,Jessie Reyez & JRM,Being Human In Public,2,2018,24.12.2018 2:20,R&B и соул,05.10.2018
Dear Yessie,3:10,Jessie Reyez,Being Human In Public,13,2018,24.12.2018 2:17,R&B и соул,21.09.2018
Sola,3:30,Jessie Reyez,Being Human In Public,2,2018,24.12.2018 2:15,Латино,10.08.2018
Saint Nobody,3:14,Jessie Reyez,Being Human In Public,2,2018,24.12.2018 2:10,R&B и соул,19.10.2018
A NINGÚN HOMBRE (Cap.11: Poder),1:34,ROSALÍA,EL MAL QUERER,2,2018,24.12.2018 2:01,Поп-музыка,02.11.2018
MALDICIÓN (Cap.10: Cordura),2:55,ROSALÍA,EL MAL QUERER,3,2018,24.12.2018 1:58,Поп-музыка,02.11.2018
DI MI NOMBRE (Cap.8: Éxtasis),2:42,ROSALÍA,EL MAL QUERER,3,2018,24.12.2018 1:51,Поп-музыка,02.11.2018
BAGDAD (Cap.7: Liturgia),3:03,ROSALÍA,EL MAL QUERER,2,2018,24.12.2018 1:50,Поп-музыка,02.11.2018
RENIEGO (Cap.5: Lamento),3:28,ROSALÍA,EL MAL QUERER,2,2018,24.12.2018 1:44,Поп-музыка,02.11.2018
DE AQUÍ NO SALES (Cap.4: Disputa),2:25,ROSALÍA,EL MAL QUERER,2,2018,24.12.2018 1:42,Поп-музыка,02.11.2018
PIENSO EN TU MIRÁ (Cap.3: Celos),3:14,ROSALÍA,EL MAL QUERER,2,2018,24.12.2018 1:39,Поп-музыка,24.07.2018
QUE NO SALGA LA LUNA (Cap.2: Boda),4:30,ROSALÍA,EL MAL QUERER,2,2018,24.12.2018 1:35,Поп-музыка,02.11.2018
MALAMENTE (Cap.1: Augurio),2:30,ROSALÍA,EL MAL QUERER,4,2018,24.12.2018 1:31,Pop,30.05.2018
"FEFE (feat. Nicki Minaj, Murda Beatz)",2:59,6ix9ine,DUMMY BOY,3,2018,24.12.2018 1:15,Хип-хоп/рэп,22.07.2018
Roll (Burbank Funk),3:10,The Internet,Roll (Burbank Funk) - Single,4,2018,23.12.2018 14:52,R&B и соул,27.04.2018
151 Rum,2:37,JID,DiCaprio 2,4,2018,23.12.2018 14:38,Хип-хоп/рэп,19.09.2018
Look Alive (feat. Drake),3:01,BlocBoy JB,Look Alive (feat. Drake) - Single,2,2018,23.12.2018 14:34,Хип-хоп/рэп,09.02.2018
monster,3:53,21 Savage,i am > i was,2,2018,23.12.2018 14:07,Хип-хоп/рэп,21.12.2018
Aria - Cantilena from Bachiana Brasileira No. 5,7:01,"Bidú Sayão, Эйтор Вила-Лобос & Leonard Rose",Bidú Sayão,3,1985,21.12.2018 12:58,Классическая музыка,01.01.1985
Suite Populaire Bresilienne: Mazurka Choro,3:48,Эйтор Вила-Лобос,Villa Lobos: The Sounds of Brazil,2,2007,21.12.2018 12:45,Со всего мира,20.10.2007
4L,4:48,21 Savage,i am > i was,2,2018,21.12.2018 12:23,Хип-хоп/рэп,21.12.2018
all my friends,3:32,21 Savage,i am > i was,3,2018,21.12.2018 11:13,Хип-хоп/рэп,21.12.2018
1.5,2:29,21 Savage,i am > i was,1,2018,21.12.2018 11:10,Хип-хоп/рэп,21.12.2018
out for the night,2:17,21 Savage,i am > i was,1,2018,21.12.2018 11:07,Хип-хоп/рэп,21.12.2018
break da law,2:58,21 Savage,i am > i was,1,2018,21.12.2018 10:59,Хип-хоп/рэп,21.12.2018
a lot,4:49,21 Savage,i am > i was,6,2018,21.12.2018 10:54,Хип-хоп/рэп,21.12.2018
Загон,2:57,Казускома,Загон,3,2018,18.12.2018 15:47,Рок,14.12.2018
Св. Николай,6:09,Казускома,Загон,8,2017,18.12.2018 15:43,Рок,20.12.2017
Мне так сложно,4:49,Казускома,Загон,1,2018,18.12.2018 15:43,Рок,14.12.2018
Вокруг так много всего (feat. Хаски),4:07,Казускома,Загон,2,2018,18.12.2018 15:22,Рок,14.12.2018
Никто не понимает нас,4:54,Казускома,Загон,,2018,18.12.2018 15:20,Рок,14.12.2018
Ночью,5:03,Казускома,Загон,,2018,18.12.2018 15:11,Rock,14.12.2018
Я вздрючен миром,3:15,Казускома,Загон,,2018,18.12.2018 15:04,Рок,14.12.2018
Чужой,3:40,Казускома,Загон,,2018,18.12.2018 15:04,Рок,14.12.2018
Первые люди,5:55,Казускома,Загон,,2018,18.12.2018 15:04,Рок,14.12.2018
Глубина,4:08,Никита Мастяк,Ta Vie,,2018,18.12.2018 12:46,Хип-хоп/рэп,25.10.2018
Максимум,2:54,Никита Мастяк,Ta Vie,1,2018,18.12.2018 12:33,Хип-хоп/рэп,25.10.2018
Almost Blue,3:21,Chet Baker,Chet On Poetry,,2018,16.12.2018 22:43,Джаз,07.01.2018
Хочу к тебе,2:26,Егор Натс,Хочу к тебе - Single,16,2018,16.12.2018 17:48,Хип-хоп/рэп,31.03.2018
"Мультибрендовый (feat. 104, T-Fest & Niman)",4:32,Скриптонит,"Мультибрендовый (feat. 104, T-Fest & Niman) - Single",4,2018,16.12.2018 17:37,Хип-хоп/рэп,24.10.2018
Семирамида,4:01,TumaniYO,FOG#ONE,3,2018,16.12.2018 17:19,Хип-хоп/рэп,28.09.2018
Кот,3:43,ЗАМАЙ & Слава КПСС,ОВЕРХАЙП 2,7,2018,16.12.2018 17:12,Хип-хоп/рэп,02.10.2018
